Field Trip Store,4251368.5497,1970,49
Riding Excursions,4251368.5497,1971,48
Sports Products Store,4251368.5497,1971,48
Thrilling Bike Tours,4251368.5497,1971,48
Remarkable Bike Store,4251368.5497,1972,47
Pro Sporting Goods,4251368.5497,1972,47
The New Bike Store,4251368.5497,1974,45
Wire Baskets and Parts,4251368.5497,1975,44
Major Sporting Goods,4251368.5497,1976,43
Sample Bike Store,4251368.5497,1976,43
Preferred Bikes,4251368.5497,1977,42
Flawless Bike Shop,4251368.5497,1978,41
Two Wheels Cycle Store,4251368.5497,1978,41
Eastside Department Store,4251368.5497,1979,40
World Bike Discount Store,4251368.5497,1979,40
Aerobic Exercise Company,4251368.5497,1980,39
Economy Bikes Company,4251368.5497,1980,39
Sparkling Paint and Finishes,4251368.5497,1981,38
Strenuous Exercise Shop,4251368.5497,1982,37
Alpine Ski House,4251368.5497,1984,35
Good Toys,4251368.5497,1984,35
Extreme Riding Supplies,4251368.5497,1986,33
Main Bicycle Services,4251368.5497,1986,33
Thrifty Parts and Sales,4251368.5497,1987,32
Basic Sports Equipment,4251368.5497,1988,31
Brakes and Gears,4251368.5497,1988,31
Resale Services,4251368.5497,1988,31
Fleet Bikes,4251368.5497,1989,30
Extended Bike Sales,4251368.5497,1990,29
Traction Tire Company,4251368.5497,1990,29
Professional Sales and Service,4251368.5497,1991,28
More Bikes!,4251368.5497,1992,27
Healthy Activity Store,4251368.5497,1995,24
Quantity Discounts,4251368.5497,1996,23
Retail Cycle Shop,4251368.5497,1997,22
Another Sporting Goods Company,4251368.5497,1998,21
Bold Bike Accessories,4251368.5497,1999,20
Countryside Company,4251368.5497,2000,19
Imported and Domestic Cycles,4251368.5497,2000,19
Uttermost Bike Shop,4116871.2277,2000,19
Bulk Discount Store,4116871.2277,2000,19
Exclusive Bicycle Mart,4116871.2277,1999,20
Prosperous Tours,4116871.2277,1999,20
Cycles Wholesaler & Mfg.,4116871.2277,1999,20
Nearby Sporting Goods,4116871.2277,1998,21
Exceptional Cycle Services,4116871.2277,1996,23
Express Bike Services,4116871.2277,1995,24
Oils and Fluids Warehouse,4116871.2277,1995,24
Riding Cycles,4116871.2277,1993,26
Mail Market,4116871.2277,1994,25
Nearby Cycle Shop,4116871.2277,1994,25
Area Sheet Metal Supply,4116871.2277,1995,24
Action Bicycle Specialists,4116871.2277,1992,27
Consumer Equipment,4116871.2277,1992,27
Downhill Bicycle Specialists,4116871.2277,1992,27
Extended Tours,4116871.2277,1992,27
Central Bicycle Specialists,4116871.2277,1991,28
Channel Outlet,4116871.2277,1991,28
Variety Cycling,4116871.2277,1990,29
Instruments and Parts Company,4116871.2277,1990,29
Authentic Sales and Service,4116871.2277,1990,29
Cycling Goods,4116871.2277,1986,33
Vigorous Sports Store,4116871.2277,1984,35
Commerce Bicycle Specialists,4116871.2277,1985,34
Metropolitan Bicycle Supply,4116871.2277,1983,36
Number One Bike Co.,4116871.2277,1982,37
Sports Store,4116871.2277,1980,39
Tubeless Tire Company,4116871.2277,1980,39
Outdoor Aerobic Systems Company,4116871.2277,1981,38
Shipping Specialists,4116871.2277,1978,41
Little Sports Center,4116871.2277,1976,43
Closest Bicycle Store,4116871.2277,1976,43
West Side Mart,4116871.2277,1975,44
Metro Metals Co.,4116871.2277,1974,45
Rampart Amusement Company,4116871.2277,1975,44
Exhibition Showroom,4116871.2277,1974,45
Essential Bike Works,4116871.2277,1972,47
Tachometers and Accessories,4116871.2277,1971,48
Leisure Clearing House,4116871.2277,1970,49
Mobile Outlet,3763178.1787,1970,49
Small Cycle Store,3763178.1787,1971,48
Guaranteed Sales and Service,3763178.1787,1971,48
Small Bike Accessories Shop,3763178.1787,1972,47
Margie's Travel,3763178.1787,1972,47
Full-Service Bike Store,3763178.1787,1974,45
Seventh Bike Store,3763178.1787,1973,46
Handy Bike Services,3763178.1787,1975,44
Eleventh Bike Store,3763178.1787,1975,44
Executive Gift Store,3763178.1787,1975,44
Grand Discount Store,3763178.1787,1974,45
Outdoor Distributors,3763178.1787,1974,45
A Bicycle Association,3763178.1787,1975,44
Professional Sporting Goods,3763178.1787,1974,45
"Fabrikam Inc., West",3763178.1787,1976,43
Metropolitan Sales and Rental,3763178.1787,1976,43
Work and Play Association,3763178.1787,1976,43
Riverside Company,3763178.1787,1978,41
Field Trip Inc,3763178.1787,1978,41
Exhilarating Cycles,3763178.1787,1980,39
Outdoor Equipment Store,3763178.1787,1980,39
Strong Metal Manufacturing,3763178.1787,1979,40
Wheelsets Storehouse,3763178.1787,1979,40
Kickstand Sellers,3763178.1787,1981,38
Fourth Bike Store,3763178.1787,1981,38
Sales and Supply Company,3763178.1787,1980,39
Historic Bicycle Sales,3763178.1787,1982,37
Online Bike Sellers,3763178.1787,1982,37
Recreation Systems,3763178.1787,1982,37
Incomparable Bicycle Store,3763178.1787,1983,36
Tire Company,3763178.1787,1983,36
Casual Bicycle Store,3763178.1787,1985,34
Clamps & Brackets Co.,3763178.1787,1985,34
Grown-up Bike Store,3763178.1787,1984,35
Curbside Universe,3763178.1787,1984,35
Active Transport Inc.,3763178.1787,1990,29
Larger Cycle Shop,3763178.1787,1989,30
Weekend Tours,3763178.1787,1990,29
Bicycle Outfitters,3763178.1787,1991,28
Convenient Bike Shop,3763178.1787,1991,28
Grand Sport Boutique,3763178.1787,1991,28
Lease-a-Bike Shop,3763178.1787,1991,28
Mountain Bike Store,3763178.1787,1991,28
Expert Sports Store,3763178.1787,1992,27
Economic Parts Supply,3763178.1787,1992,27
Bike Boutique,3763178.1787,1992,27
Endurance Bikes,3763178.1787,1993,26
Only Bikes and Accessories,3763178.1787,1992,27
Purchase Mart,3763178.1787,1992,27
Blue Bicycle Company,3763178.1787,1995,24
The Bike Mechanics,3763178.1787,1994,25
The Cycle Store,3763178.1787,1994,25
Traditional Department Stores,3763178.1787,1994,25
Retail Sales and Service,3763178.1787,1994,25
Novelty Bikes,3763178.1787,1993,26
Bike Products and Accessories,3763178.1787,1994,25
Fitness Sport Boutique,3763178.1787,1994,25
Mechanical Sports Center,3763178.1787,1995,24
Bikes Anyone?,3763178.1787,1996,23
Friendly Bike Shop,3763178.1787,1996,23
Independent Outlet,3763178.1787,1996,23
Painters Bicycle Specialists,3763178.1787,1998,21
Leather and Vinyl Manufacturing,3763178.1787,1998,21
Exotic Bikes,3763178.1787,1998,21
Fashionable Department Stores,3763178.1787,1998,21
Catalog Store,3763178.1787,1999,20
Classic Cycle Store,3763178.1787,1999,20
Wholesale Bikes,3763178.1787,1998,21
Active Cycling,3763178.1787,1998,21
Super Sports Store,3763178.1787,1999,20
Metro Bike Works,3763178.1787,1999,20
Modern Bike Store,3763178.1787,1999,20
