Name,BusinessEntityID,Revenue,SquareFeet,NumberEmployees
Nationwide Supply,300,1606441.447,21000,17
Twin Cycles,350,1606441.447,21000,11
Quality Bike Sales,358,1606441.447,74000,67
Seaside Bike Works,384,1606441.447,19000,10
Nearest Bike Store,408,1606441.447,8000,4
Fast Bike Works,410,1606441.447,25000,28
Cross-town Parts Shop,426,1606441.447,23000,19
Second Bike Shop,436,1606441.447,21000,19
Uncompromising Quality Co,456,1606441.447,39000,46
Helmets and Cycles,550,1606441.447,21000,14
Unusual Bicycle Company,564,1606441.447,78000,99
Budget Toy Store,624,1606441.447,71000,52
Fitness Discount Store,666,1606441.447,19000,11
Inexpensive Parts Shop,676,1606441.447,35000,34
Plastic Products Manufacturers,688,1606441.447,37000,40
Kids and Adults Cycle Shop,690,1606441.447,75000,93
Rental Gallery,706,1606441.447,37000,40
First Supplies,718,1606441.447,26000,22
Online Bike Catalog,784,1606441.447,74000,88
Rich Department Store,796,1606441.447,76000,94
Jumbo Bikes,894,1606441.447,39000,41
Fitness Bike Accessories,906,1606441.447,39000,47
Expert Cycle Store,918,1606441.447,38000,37
Major Bicycle Store,972,1606441.447,41000,49
Popular Bike Lines,1042,1606441.447,20000,17
Bike Part Wholesalers,1038,1606441.447,21000,15
Mass Market Bikes,1058,1606441.447,7000,5
Eastside Cycle Shop,1054,1606441.447,21000,11
Volume Bike Sellers,1314,1606441.447,78000,100
Global Sports Outlet,1342,1606441.447,75000,70
Ideal Components,1354,1606441.447,76000,82
Liquidation Sales,1370,1606441.447,37000,31
Sensible Sports,1366,1606441.447,37000,33
Preferable Bikes,1452,1606441.447,24000,29
List Price Catalog Company,1464,1606441.447,37000,35
Eastward Bike Accessories,1818,1606441.447,39000,39
Region Bike Company,1854,1606441.447,75000,81
Gears and Parts Company,1866,1606441.447,74000,87
Cycle Parts and Accessories,1938,1606441.447,20000,10
Helpful Sales and Repair Service ,1950,1606441.447,19000,16
Links Works,1974,2062393.137,39000,40
Off-Price Bike Center,1880,2062393.137,22000,14
Regional Cycle Shop,1906,2062393.137,10000,8
Educational Services,1914,2062393.137,19000,17
Fitness Toys,1926,2062393.137,21000,11
Good Bicycle Store,1432,2062393.137,71000,67
Global Bike Retailers,1420,2062393.137,40000,49
West Wind Distributors,1160,2062393.137,27000,29
Enterprise Center,1178,2062393.137,23000,19
Mechanical Brake Manufacturers,1190,2062393.137,21000,10
"Fabrikam Inc., East",1198,2062393.137,20000,11
Next Door Cycles,1250,2062393.137,27000,20
Producer Goods Clearinghouse,1072,2062393.137,22000,16
Precision Gears Inc.,1008,2062393.137,38000,40
Bicycle Warehouse Inc.,1020,2062393.137,26000,22
Rustic Bike Store,1076,2062393.137,19000,12
Fast Services,1088,2062393.137,9000,3
Hometown Riding Supplies,996,2062393.137,38000,46
Lustrous Paints and Components,888,2062393.137,77000,80
Versatile Sporting Goods Company,876,2062393.137,74000,64
Best Cycle Store,770,2062393.137,78000,93
Very Best Sports Supply,730,2062393.137,28000,28
Primary Cycle Shop,736,2062393.137,37000,41
Major Equipment Co,748,2062393.137,37000,47
Nearby Bike Mall,758,2062393.137,74000,87
Showcase for Cycles,830,2062393.137,71000,64
Functional Store South,834,2062393.137,71000,70
Bicycle Exporters,636,2062393.137,39000,34
Rural Sporting Goods,646,2062393.137,20000,10
Excellent Bikes,582,2062393.137,75000,81
Speedometer Sales,606,2062393.137,39000,37
Rambling Tours,578,2062393.137,19000,19
North Bike Company,532,2062393.137,37000,40
Amalgamated Parts Shop,538,2062393.137,77000,99
Rodeway Bike Store,446,2062393.137,7000,4
Teen Discount Store,416,2062393.137,18000,16
Capital Riding Supplies,420,2062393.137,39000,46
Pedaling Components,378,2062393.137,36000,35
Top of the Line Bikes,314,2062393.137,40000,46
Irregulars Outlet,322,2062393.137,7000,5
Center Cycle Shop,430,3748246.122,25000,20
Moderately-Priced Bikes Store,498,3748246.122,39000,39
Raw Materials Inc,522,3748246.122,74000,73
Nonskid Tire Company,536,3748246.122,80000,100
Thorough Parts and Repair Services,600,3748246.122,22000,18
Alternative Vehicles,586,3748246.122,41000,45
Imaginary Toys,674,3748246.122,20000,12
Sports Merchandise,660,3748246.122,73000,83
Roadway Bike Emporium,858,3748246.122,68000,52
Successful Sales Company,802,3748246.122,38000,46
Vast Bike Sales and Rental,870,3748246.122,73000,70
A Bike Store,934,3748246.122,7000,2
Two Bike Shops,938,3748246.122,20000,14
Synthetic Materials Manufacturing,1118,3748246.122,39000,40
Tires and Tubes,1124,3748246.122,79000,90
Fitness Supplies,1230,3748246.122,19000,15
Scooters and Bikes Store,1258,3748246.122,21000,14
Outdoor Sports Supply,1270,3748246.122,9000,2
Kickstands and Accessories Company,1282,3748246.122,10000,8
Capable Sales and Service,1206,3748246.122,10000,3
Fad Outlet,1218,3748246.122,8000,9
Roving Sports,1138,3748246.122,41000,43
Certified Bicycle Supply,1150,3748246.122,24000,25
City Manufacturing,1412,3748246.122,75000,66
Official Parts Shop,1388,3748246.122,24000,22
Front Sporting Goods,1328,3748246.122,70000,55
Authorized Bike Sales and Rental,1304,3748246.122,75000,95
Family Entertainment Center,1292,3748246.122,75000,89
Some Discount Store,1438,3748246.122,27000,22
All Cycle Shop,1470,3748246.122,25000,27
Riding Associates,1482,3748246.122,36000,33
Honest Repair Service,1846,3748246.122,77000,88
Bike Experts,1834,3748246.122,73000,82
Cycle Clearance,1804,3748246.122,40000,46
Sellers of Cycles,1810,3748246.122,37000,43
Travel Sports,1890,3748246.122,18000,17
Mail-Order Outlet,1982,3748246.122,18000,17
Convenient Sales and Service,1966,3748246.122,77000,98
Large Bike Shop,1952,4069422.211,19000,17
Fasteners & Bolts Outlet,1940,4069422.211,18000,11
Plastic Parts Company,1864,4069422.211,76000,86
Quick Parts and Service,1928,4069422.211,7000,5
Famous Bike Shop,1816,4069422.211,37000,40
Top Bike Market,1852,4069422.211,75000,80
Seats and Saddles Company,1466,4069422.211,38000,36
Recommended Bicycles,1454,4069422.211,35000,30
National Manufacturing,1312,4069422.211,80000,99
Cycle Merchants,1340,4069422.211,75000,67
Reliable Retail Center,1368,4069422.211,35000,32
Grand Industries,1352,4069422.211,77000,81
Tandem Sales and Service,1364,4069422.211,38000,34
Home Town Bike Store,1166,4069422.211,20000,11
Consolidated Messenger,1238,4069422.211,7000,8
Superb Sales and Repair,1044,4069422.211,19000,18
General Department Stores,1056,4069422.211,11000,8
Operational Manufacturing,1060,4069422.211,8000,2
Family Cycle Store,1040,4069422.211,18000,16
Primary Bike Distributors,970,4069422.211,39000,46
General Riding Supplies,920,4069422.211,36000,34
General Bike Corporation,908,4069422.211,38000,48
Quick Delivery Service,896,4069422.211,37000,42
Rewarding Activities Company,794,4069422.211,76000,93
Neighborhood Store,782,4069422.211,77000,87
Bikes and Motorbikes,622,4069422.211,40000,49
General Cycle Storehouse,668,4069422.211,20000,12
Nuts and Bolts Mfg.,678,4069422.211,37000,35
South Bike Company,708,4069422.211,40000,37
Machines & Cycles Store,720,4069422.211,22000,19
Custom Accessories Company,562,4069422.211,79000,98
Metal Processing Company,512,4069422.211,39000,47
Toy Manufacturing Inc,500,4069422.211,40000,41
Odometers and Accessories Company,464,4069422.211,76000,92
Finer Cycle Shop,428,4069422.211,20000,16
First-Rate Outlet,438,4069422.211,26000,20
Gasless Cycle Shop,412,4069422.211,24000,29
Nice Bikes,386,4069422.211,9000,8
Serious Cycles,356,4069422.211,71000,64
Family's Favorite Bike Shop,332,4069422.211,21000,18
Great Bikes ,318,4207894.603,10000,3
Major Sport Suppliers,330,4207894.603,68000,52
Bicycle Accessories and Kits,304,4207894.603,7000,9
Impromptu Trips,402,4207894.603,37000,33
Road-Way Mart,390,4207894.603,26000,27
Safe Cycles Shop,472,4207894.603,72000,73
Another Bicycle Company,442,4207894.603,6000,2
Latest Sports Equipment,518,4207894.603,18000,14
Parcel Express Delivery Service,528,4207894.603,36000,38
Commendable Bikes,558,4207894.603,37000,39
Fifth Bike Store,574,4207894.603,26000,25
Metro Cycle Shop,612,4207894.603,74000,83
Outstanding Cycles,656,4207894.603,78000,85
Sports Commodities,632,4207894.603,37000,32
Friendly Bike Shop,762,4207894.603,75000,89
Rugged Bikes,774,4207894.603,77000,95
Grand Cycle Store,756,4207894.603,41000,43
First Department Stores,744,4207894.603,38000,45
Suburban Cycle Shop,818,4207894.603,10000,8
Racing Bike Outlet,822,4207894.603,72000,52
Stock Parts and Supplies,838,4207894.603,76000,76
Coho Sports,892,4207894.603,75000,82
The Bike Shop,880,4207894.603,73000,70
Finer Mart,1004,4207894.603,38000,46
Latest Accessories Sales,992,4207894.603,38000,44
Year-Round Sports,964,4207894.603,75000,66
Superior Hardware Distributors,1068,4207894.603,25000,20
Progressive Sports,1028,4207894.603,18000,10
Central Discount Store,1016,4207894.603,25000,28
Running and Cycling Gear,1084,4207894.603,7000,4
Finer Parts Shop,1246,4207894.603,19000,18
Sure & Reliable Sporting Goods,1174,4207894.603,22000,17
Basic Bike Company,1186,4207894.603,20000,14
Closeout Boutique,1424,4207894.603,70000,55
A Cycle Shop,1922,4207894.603,22000,17
Wingtip Toys,1910,4207894.603,20000,15
Demand Distributors,1876,4207894.603,24000,20
Vintage Sport Boutique,1888,4207894.603,9000,2
The Bike Outlet,1894,5087977.212,21000,19
Metropolitan Equipment,1962,5087977.212,78000,96
Ultimate Bicycle Company,1958,5087977.212,78000,94
Recreation Toy Store,1986,5087977.212,17000,11
Accessories Network,1442,5087977.212,22000,16
Cycles Sales and Repair,1474,5087977.212,26000,29
Rural Mountain Bike Mart,1486,5087977.212,39000,35
Getaway Inn,1830,5087977.212,75000,80
Racing Sales and Service,1842,5087977.212,77000,86
Hiatus Bike Tours,1800,5087977.212,40000,48
Pretty Bikes and Toys,1210,5087977.212,6000,5
Instant Cycle Store,1154,5087977.212,23000,19
Roadway Bicycle Supply,1262,5087977.212,19000,10
Self-Contained Cycle Parts Company,1274,5087977.212,7000,4
